년도,날짜,승패,상대,AVG_K,OPS_K,LI_K,WPA_K,HR/AB_K,SO/AB_K,ERA_K,WHIP_K,LI_K,WPA_K,SO/IP_K,AVG_R,OPS_R,LI_R,WPA_R,HR/AB_R,SO/AB_R,ERA_R,WHIP_R,LI_R,WPA_R,SO/IP_R
2018,5월 3일,0,롯데,0.25,0.623,1.34,0.259,0.028,0.25,3.24,1.8,1.9,-0.759,0.864,0.294,0.796,1.88,0.759,0.029,0.206,3,1.11,1.3,-0.259,1
2018,5월 4일,0,NC,0.297,0.811,1.37,0.08,0.027,0.135,6,2,1.6,-0.58,1.111,0.341,1.132,1.61,0.58,0.073,0.244,5,1.44,1.4,-0.08,0.556
2018,5월 5일,1,NC,0.486,1.215,0.43,0.335,0.027,0.162,4,1.33,0.5,0.164,0.556,0.229,0.668,0.46,-0.164,0.029,0.143,13.5,2.5,0.4,-0.335,0.75
2018,5월 6일,1,NC,0.487,1.238,0.8,0.442,0.051,0.051,3,0.89,0.4,0.058,1.111,0.182,0.674,0.43,-0.058,0.061,0.303,12.38,3,0.8,-0.442,0.25
2018,5월 8일,1,두산,0.382,1.145,0.21,0.385,0.088,0.118,0,0.89,0.2,0.116,0.889,0.194,0.468,0.22,-0.116,0,0.258,11.25,2.13,0.2,-0.385,0.5
2018,5월 9일,0,두산,0.242,0.633,0.6,0.183,0,0.212,12,2.33,0.6,-0.683,0.556,0.381,0.985,0.63,0.683,0,0.119,7,1.56,0.6,-0.183,0.778
2018,5월 10일,1,두산,0.295,0.786,1.29,0.295,0.023,0.159,4.09,2,1.8,0.205,0.727,0.347,0.836,1.81,-0.205,0.02,0.163,5.06,1.5,1.3,-0.295,0.686
2018,5월 11일,0,삼성,0.219,0.692,0.45,-0.238,0.031,0.219,9,1.88,0.4,-0.262,0.125,0.361,1.051,0.41,0.262,0.083,0.028,3,1.11,0.5,0.238,0.778
2018,5월 13일,1,삼성,0.306,1.001,1.24,0.547,0.083,0.278,6,1.56,1.6,-0.047,0.667,0.297,0.723,1.57,0.047,0,0.162,8,1.67,1.2,-0.547,1.111
2018,5월 15일,1,키움,0.133,0.369,1.36,-0.049,0,0.3,1,1,2,0.549,1.222,0.233,0.703,1.96,-0.549,0.033,0.367,2,0.67,1.4,0.049,1
2018,5월 16일,0,키움,0.333,0.817,1.26,0.055,0,0.205,9,2,1,-0.555,0.75,0.29,0.873,1.04,0.555,0.032,0.194,7,1.78,1.3,-0.055,0.889
2018,5월 17일,0,키움,0.188,0.548,0.82,-0.218,0.031,0.25,9,1.5,0.8,-0.282,0.875,0.343,0.971,0.82,0.282,0.086,0.2,2,0.89,0.8,0.218,0.889
2018,5월 18일,1,SK,0.303,0.876,0.54,0.204,0.03,0.061,1,0.78,0.9,0.296,0.889,0.161,0.444,0.93,-0.296,0,0.258,5.63,1.63,0.5,-0.204,0.25
2018,5월 19일,1,SK,0.2,0.55,0.9,-0.126,0,0.133,1,0.44,1.2,0.626,0.111,0.143,0.429,1.22,-0.626,0.036,0.036,2.25,1,0.9,0.126,0.5
2018,5월 20일,1,SK,0.371,1.193,0.6,0.457,0.086,0.143,2,1,1,0.043,0.889,0.206,0.515,0.96,-0.043,0,0.235,9,2.13,0.6,-0.457,0.625
2018,5월 22일,1,kt,0.368,1.008,0.55,0.375,0.053,0.158,4,0.89,0.6,0.126,0.667,0.125,0.524,0.65,-0.126,0.031,0.188,9,2.13,0.6,-0.375,0.75
2018,5월 23일,0,kt,0.415,1.015,0.9,0.207,0.024,0.146,8,1.44,1.3,-0.707,0.667,0.27,0.75,1.34,0.707,0.027,0.162,8,2.44,0.9,-0.207,0.667
2018,5월 24일,0,kt,0.212,0.469,0.36,-0.163,0,0.333,7,2.22,0.4,-0.337,0.556,0.413,0.992,0.35,0.337,0.022,0.109,1,0.89,0.4,0.163,1.222
2018,5월 25일,1,NC,0.389,1.366,0.37,0.379,0.139,0.111,2,1.44,0.4,0.121,1.111,0.343,0.78,0.42,-0.121,0.029,0.286,14,2.33,0.4,-0.379,0.444
2018,5월 26일,0,NC,0.206,0.464,0.92,-0.427,0,0.206,5.63,1.88,0.9,-0.073,1,0.324,0.865,0.91,0.073,0.029,0.235,0,0.89,0.9,0.427,0.778
2018,5월 27일,1,NC,0.405,1.149,0.43,0.267,0.071,0.143,1,0.89,0.4,0.233,0.667,0.138,0.403,0.44,-0.233,0,0.207,9,2.22,0.4,-0.267,0.667
2018,5월 29일,0,키움,0.278,0.802,0.57,0.101,0.056,0.056,10,2.56,0.5,-0.601,0.778,0.409,1.231,0.48,0.601,0.091,0.159,8,1.56,0.6,-0.101,0.222
2018,5월 30일,0,키움,0.278,0.727,1.14,-0.256,0,0.111,6,1.78,0.8,-0.244,0.444,0.333,0.996,0.77,0.244,0.077,0.103,1,1.56,1.1,0.256,0.444
2018,5월 31일,1,키움,0.303,0.879,0.53,0.155,0.061,0.091,0,0.44,0.7,0.345,0.778,0.1,0.256,0.66,-0.345,0,0.233,5.63,1.5,0.5,-0.155,0.375
